id	title	created	idea	author	votes	votes_for	votes_against	comment_count	link	errors
2431-4049	Use CRADA agreements to allow Open Source Community to help make govt data transparent	2009-05-20 00:00:00	The government allows "Cooperative Research and Development Agreements (CRADA) to bring together government and public researchers to work on joint projects in which no money changes hands. CRADA agreements allow both parties to share in the resultant research. CRADA agreements should be used to allow developers in the open source community and elsewhere to come in and aid Federal Agencies in making their data transparent. Many agencies aren't funded to make their data transparent, and likewise, many citizens and interest groups want to participate and collaborate in helping the Federal government. <br /><br />CRADA agreements could allow the process of extracting (often unstructured) data to be Open Source, while the data itself resides on data.gov. Many in the open source community already support this idea.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>This allows the government to take advantage of the expertise of its citizenry for free, while building better trust between govt agencies and citizens, AND increasing the flow of transparent data.</div><br />	ndickover	46	68	22	1	http://opengov.ideascale.com/akira/dtd/2431-4049	
2433-4049	Centralize petitions to Congress and the President	2009-05-20 00:00:00	I worked as an intern in the House of Representatives and what astonished me the most was the outdated system we use for alerting representatives to the problems faced by the American people. Every day, each member of Congress receives hundreds of letters, some through e-mail, some handwritten, asking for a response to a very small number of issues. Most of these issues demand collaboration between many members of Congress. Wouldn't it be more efficient for citizens to demand change collectively, through the Internet? The British government already has a website like this at http://petitions.number10.gov.uk/. There, the Prime Minister can respond to petitions voted on by thousands of people. Obama has already done something like this by soliciting questions for his open dialogues--why not expand this tool to all of government?<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>This would allow Americans to express interest in federal issues collectively rather than flooding their representatives with mail.</div><br />	averym	176	223	47	14	http://opengov.ideascale.com/akira/dtd/2433-4049	
2434-4049	Establish a federal institute for public engagement	2009-05-20 00:00:00	Establish a federal institute for public engagement, similar to the U.S. Institute for Environmental Conflict Resolution, to gather research on best practices, training and development; develop a knowledge-base; and institute the community of practice. This institute can track collaboration at every stage, including intergovernmental, cross-jurisdictional and within individual agencies.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Agencies need a resource to offer training and disseminate best practices in participation and collaboration</div><br />	jgoldman	72	106	34	8	http://opengov.ideascale.com/akira/dtd/2434-4049	
2435-4049	Fully fund participation and collaboration activities	2009-05-20 00:00:00	Agencies generally do not adequately plan for or budget to integrate public participation or collaborative processes into their programmatic work. To undertake small and large-scale public participation or collaborative efforts, agencies often have to re-program personnel and dollars or look to other program sources, effectively "robbing Peter to pay Paul." <br /><br />Additionally, many public participation and collaborative efforts are long-term in nature and annual budget cycles do not generally allow for budgeting for multi-year processes.<br /><br />For public participation to be done well, adequate resources must be dedicated for this purpose. Funding is needed to support new uses of technology, education and skills training, travel, administrative support, and expert assistance such as facilitators.<br /><br />By soliciting public input, the Open Government Directive promises to make government more efficient, reducing costs related to overlooked information or stakeholders, lengthy campaigns to educate the public after the fact, and concealed redundancies. Therefore, a significant initial investment, may promise to pay for itself over a period of years. OMB should work with the other task forces and oversight groups to determine this window of years and track the savings provided to the tax-paying public. This will also serve to provide greater incentive for Americans participate in open government, by providing high-level input. <br /><br />Recommendations for action, developed in April 2009 by federal agency managers attending "Champions of Participation":<br /><br />1. Direct agencies to incorporate participation and collaboration into funding requests and major project planning, such as: in the formulation and justification of budget requests funding; in the process of planning any large projects (such as planning processes, environmental studies, rulemakings) thereby building the public participation strategy into the life of the project; <br /><br />2. Direct agencies to use at least 1% of program budgets for implementation of the directive and specify the resource needs to support public participation and collaboration including full-time positions for subject matter experts, basic education and skills training, technology tools to increase transparency, public participation and collaboration, and other capacity building needs.<br /><br />3. Set standards for the amount of funding that will be dedicated to participation and collaboration activities, such as: study how participation and collaboration dollars are already being spent; provide resources and formulas that allow agencies to track savings and/or efficiency; use agency collected data to set standards.<br /><br />4. Create new funding sources for participation and collaboration, such as: public-private partnerships, use attrition to shift more full-time positions to new positions that focus on using collaborative approaches and public participation strategies; develop a fund for the purpose of supporting public participation and collaboration across agencies.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div></div><br />	shaaslyons	272	336	64	7	http://opengov.ideascale.com/akira/dtd/2435-4049	
2437-4049	2. Integrate Participation and Collaboration into All Major Systems of Federal Agencies	2009-05-20 00:00:00	Creating a more open government will require most federal agencies to fundamentally shift how they interact with the public. Within 180 days, agencies should produce a plan to integrate public involvement and collaboration into all relevant systems, including: <br /><br />• Hiring, recruiting and promotion <br />• Performance agreements and appraisal <br />• Award and incentive systems <br />• Rotations and special assignments<br />• Program assessment and audits<br />• Training and leadership development programs<br />• Communications strategies<br />• Strategic planning and budget processes<br /><br />Every agency should designate a senior level leader to serve as an open government champion. The champion will review agency operations and identify areas to improve public participation, collaboration and transparency activities. The agency champion will serve an on interagency working group to share best practices across agencies.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Changing the culture of the federal government to value and support participation and collaboration will require system-wide shifts in how agencies do business. </div><br />	jgoldman	187	248	61	8	http://opengov.ideascale.com/akira/dtd/2437-4049	
2438-4049	Establish the President’s Management Council as the key oversight structure for creating a more open government.	2009-05-20 00:00:00	Establish the President's Management Council as the key oversight structure for creating a more open government. The President's Management Council can effectively engage Deputy Secretaries of the cabinet-level departments and agencies, providing top-level management support for open government. As the key Executive Branch official, the Chief Performance Officer should take responsibility for directing the overall Open Government Directive. With the support of the Chief Performance Officer, the Council will work with the top federal managers to plan and guide the implementation of the directive across the federal government.<br /><br />Form three inter-agency work groups to carry out the main aspects of the directive with the President's Management Council.<br /><br />1. The first work group, chaired by the Office of Management and Budget, will oversee implementation of the Open Government Directive and measure its progress. OMB will provide policies, guidance, resources and performance measures necessary for the federal government to implement the Open Government Directive. Among the responsibilities of this work group will be: (a) make available additional funding to launch this initiative, (b) develop performance measures that recognize and validate effective actions, innovations and policies, (c) provide federal agencies with incentives that will recognize and reinforce progress, and (d) gather and distribute best practices and lessons learned as related to planning and implementing the Open Government Directive.<br /><br />2. The second work group, chaired by the Office of Personnel Management, will build the capacity of federal employees to engage the public. This workgroup will: (a) Define competencies needed; develop a shared vocabulary and knowledge base; develop training requirements addressed by the Office of Personnel Management's various training centers (including collaborative training through inter-agency efforts); ensure efforts are multi-disciplinary; and provide incentives to reward federal employees who successfully implement the Open Government Directive, and (b) Gather, organize and distribute the best practices and lessons learned related to building personnel capacity to reach out to the public.<br /><br />3. The third work group on technology issues related to open government, chaired by the Chief Technology Officer, will investigate enhancing public participation through the use of new technologies such as Web 2.0 and social media channels. This workgroup will: (a) Serve as the starting point for benchmarking, learning lessons, and identifying best practices for technology and government, and (b) Examine collaborations with citizen-experts in the emerging media and technology sectors.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Oversight, promotion and management of the Open Government Directive within the federal bureaucracy are critical to its success. Agencies have many competing priorities and directions. Creating a government that is truly open to the concerns and ideas of its citizens depends on effective policies, guidance, resources, and measures being implemented throughout the federal government. </div><br />	jgoldman	80	112	32	2	http://opengov.ideascale.com/akira/dtd/2438-4049	
2440-4049	Require all agencies to submit a plan for open government	2009-05-20 00:00:00	Require all agencies to submit a plan for how they will incorporate open government activities into their missions. Within 180 days, agencies will produce a plan to integrate public involvement and collaboration into all relevant systems [human resources, planning and budget]. Agencies must demonstrate that internal and external stakeholders participate in the development of the plans. Each agency must designate an appropriate person in the Office of the Secretary to produce the plan.<br /><br />This recommendation was developed in April 2009 by federal agency managers attending "Champions of Participation" http://www.americaspeaks.org/champions<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>In order to meet the goals of the Open Government Directive, it will be essential to support a "culture change" across federal agencies by establishing government-wide systems. </div><br />	shaaslyons	199	253	54	10	http://opengov.ideascale.com/akira/dtd/2440-4049	
2442-4049	CIO Accountability and Stemming Waste on IT Projects	2009-05-20 00:00:00	ISSUE<br />CIOs do not have detailed performance measures and therefore cannot be held accountable when IT projects go south.<br /><br />RECOMMENDATION<br />Develop detailed performance criteria for all CIOs regarding the success of IT projects and how it ties into their yearly bonus. Have CIOs report the progress of their projects on a monthly basis to OMB. Examples of criteria: project must be within 5% of budget, project may not be over schedule by more than 2 weeks, detailed requirements were captured prior to the start of development, functionality delivered is correct and operating per requirements.<br /><br />ISSUE<br />Many projects are too massive and complex which results in a high failure rate, costing hundreds of millions of dollars and lengthy delays.<br /><br />RECOMMENDATION<br />Every successful complex system started as a successful simple system. Deliver only the functionality required to be successful. This allows people to be productive in a short period of time. Require projects be broken down into modular units that can be delivered in 6-12 months. Provide criteria, based on private sector best practices, on what constitutes a modular unit.<br /><br />ISSUE<br />Agencies have improved their efficiency by using the systems of other agencies via the various government Lines of Business (LOBs) such as payroll and travel systems. However, outside of the LOBs, agencies do not have any motivation for researching whether other agencies have a solution that may also work for them. This results in money and resources which could have been better spent.<br /><br />RECOMMENDATION<br />Develop a government-wide website and require all agencies to post a description of the functionality of all of their IT systems, not just the purpose. This gives agencies a central source of information to research a solution that solves at least 80% of their problem. By posting the system functionality, out of the box thinkers will be able to see systems they could use for other purposes. All agencies should be required to demonstrate to OMB they've done their homework before they are allowed to buildsystems from scratch. This will force the agencies to put more forethought into planning, reduce costs, implement solutions more quickly, and improve efficiency.<br /><br />ISSUE<br />Mark Forman, a previous administrator of the E-Government & Information Technology Office at OMB, identified the fact that 30% or more of IT dollars are spent on:<br /><br />Systems that are adjuncts to existing systems that don't provide the data needed by managers to perform their jobs<br />Ill conceived systems that are buried in the business cases of existing larger systems to escape detection and scrutiny<br />Poorly designed systems with a low enough dollar threshold so as not to require a business case<br /><br />RECOMMENDATION<br />Have OMB improve their definition of the types of systems that require a business case to help prevent the burying of systems within the business case of larger systems. Hire more IT personnel at OMB to review the business cases to identify these situations. OMB should conduct a government-wide survey where people can anonymously report adjunct systems. This would identify the systems that have not delivered functionality as promised and warrant further investigation to ascertain whether they should continue to be funded or not.<br /><br />ISSUE<br />Many Employees have knowledge of systems that are over budget, way past schedule, and have not delivered the promised functionality. They may also know when the Earned Value Management numbers are being manipulated to show the project is not more than 10% over budget. However, their agency management isn't listening and there is no outside office to report it to.<br /><br />RECOMMENDATION<br />Establish an office associated with the Whitehouse where employees can report this information while having their identies protected.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>It will curtail spending hundreads of millions of dollars on existing poorly planned and run IT projects as well as prevent waste on future projects.</div><br />	mercury513	-20	7	27	0	http://opengov.ideascale.com/akira/dtd/2442-4049	
2443-4049	IT Certification Monopoly	2009-05-20 00:00:00	ISSUE<br />Some agencies are requiring all applicants to have a certification in project management from PMI as a prerequisite to applying for a IT project manager position, regardless of how many years of experience they have. Project management certifications from any other source is not being accepted. Some agencies feel if their project fails in any way they can say they did their due diligence by hiring a PMI certified project manager and escape responsibility. This greatly reduces the field of qualified, experienced candidates and results in people with a PMI certification, but less experience, getting the positions. It also sets up a monopoly for PMI and forces people to spend hundreeds of dollars when there is no justifiable need.<br /><br />RECOMMENDATION<br />OMB and OPM should make wriiten statements emphasizing the importance of experience and that agencies should not use a PMI certification to screen out candidates.<br /><br /><br /><br />Why Is This Idea Important?<br /><br /><div>Requiring specific IT certifications as a prerequisite for applying for government positions reduces the number of very qualified candidates that cannot afford the thousands of dollars these certifications cost. These certification do not guarantee the government will recruite the best candidates. This is only one of several institutions with this type of monopoly.</div><br />	mercury513	-9	21	30	2	http://opengov.ideascale.com/akira/dtd/2443-4049	
2444-4049	Release/index all unclassified Congressional Research Service reports	2009-05-20 00:00:00	Currently, many reports of the Congressional Research Service remain undisclosed to the public. Work with Congress to release all non-confidential research reports, past to present. Index each paper with OCR and a good search engine (maybe a cool IT modernization project), attach any relevant annotations (when the report was requested, by whom, any relevant hearings/testimonies on the report), and you're set. Cross-linking to C-SPAN's video database would be solid.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>The Congressional Research Service is a professional cadre of researchers who work in an nonpartisan, project-to-project research capacity for Congress. They often get at the truth of a pressing national issue, and often write brief, but deeply informative reports. Having these reports available for the average citizen to learn more about, understand the context, and watch any relevant hearing/testimony will help the broader American republic to self-educate on issues of the day. Furthermore, it will lessen the demand for lobby groups who traditionally function as gatekeepers or clearinghouses for compelling information in a technical or otherwise complicated debate.</div><br />	solorzanomilton	87	113	26	4	http://opengov.ideascale.com/akira/dtd/2444-4049	
2445-4049	Make Government Web Site Usage Statistics Public	2009-05-20 00:00:00	The government should create a standard front-end to allow citizens to see federal government web site usage data. Putting this data online would provide more transparency on public spending. For example, popular websites would likely be more deserving of continued support, whereas unused websites might be properly targeted to cut funds. A good interface to this data might also help citizens find interesting or useful government information. For example, the usage data can be used to created something similar to Digg or Technorati so that popular web pages, government blog posts, or documents can be easily found and tracked over time.<br /><br />The actual web server logs should not be made available if they contain personally identifiable information, such as IP addresses.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Citizens benefit from having more open government.</div><br />	dcastro	104	134	30	5	http://opengov.ideascale.com/akira/dtd/2445-4049	
2446-4049	Digitize everything	2009-05-20 00:00:00	'Google Books' (as a verb) the government. Set as a goal before the next census to have scanned every unclassified document the government has ever printed, drafted, or otherwise produced. I would say the same of the Library of Congress--make sure that every item that has passed out of copyright is scanned and made available free online. And be creative with your indexing: I can imagine some fascinating opportunities to employ a bunch of 19th and 20th century historians to better annotate this database, and CS folks to break down the barrier between the archive and the Main Street library.<br /><br /> <br /><br />Why Is This Idea Important?<br /><br /><div>Imagine if the National Archives wasn't just a proper noun--not just a building in a city on the Potomac--but a household resource freely accessible to all. Imagine if your neighborhood librarian was nationally recognized for finding absolutely anything you'd need from the government's holdings. Imagine your kid's schools having every resource the other kid's schools have--at least when you walk into their library. It doesn't take long to recognize that if we can make the US Government's data at least as accessible as our favorite celebrity we're in better shape.</div><br />	solorzanomilton	123	158	35	3	http://opengov.ideascale.com/akira/dtd/2446-4049	
